"Role","Required_Technical_Skills","Required_Soft_Skills","Preferred_Domains","Description","Min_Skill_Match","avg_salary_min","avg_salary_max","demand_level","growth_rate","related_roles"
"UI/UX Designer","Figma,Adobe XD,Sketch,HTML,CSS,JavaScript,Wireframing,Prototyping,User Research,Usability Testing","Creativity,Communication,Empathy,Attention to Detail,Presentation","UI/UX Design,Product Design,Frontend Development","Creates user-centered designs for digital products and interfaces.","55","60","110","Medium","8%","UX Researcher,Product Designer,Interaction Designer"
"DevOps Engineer","Docker,Kubernetes,Jenkins,CI/CD,Linux,AWS,Terraform,Ansible,Git,Python,Shell Scripting,Monitoring","Problem Solving,Teamwork,Communication,Automation Mindset","DevOps,Cloud Computing,Infrastructure","Bridges development and operations through automation and CI/CD pipelines.","60","85","140","High","14%","Cloud Engineer,SRE,Platform Engineer"
"Mobile App Developer","Java,Kotlin,Swift,Flutter,React Native,Firebase,REST APIs,Git,SQLite,UI Design","Creativity,Problem Solving,Teamwork,Attention to Detail","Mobile Development,App Development,Cross-Platform","Develops mobile applications for Android and iOS platforms.","55","65","115","Medium","7%","iOS Developer,Android Developer,Flutter Developer"
"Database Administrator","SQL,MySQL,PostgreSQL,MongoDB,Oracle,Database Design,Performance Tuning,Backup Recovery,Linux,Python","Attention to Detail,Problem Solving,Communication,Organization","Database Management,Data Engineering,Backend","Manages and maintains database systems to ensure reliability and performance.","60","70","120","Medium","4%","Data Engineer,Database Architect,Data Analyst"
"Blockchain Developer","Solidity,Ethereum,Smart Contracts,Cryptography,JavaScript,Python,Web3.js,Hyperledger,Git,Docker","Problem Solving,Research,Analytical Thinking,Innovation","Blockchain,Fintech,Decentralized Apps","Develops blockchain-based applications and smart contracts.","65","90","160","Low","12%","Smart Contract Developer,Crypto Engineer,Web3 Developer"
"Accountant","GAAP,Bookkeeping,Tally,QuickBooks,MS Excel,Income Tax,GST,Auditing,Financial Reporting,SAP FICO","Attention to Detail,Analytical Thinking,Integrity,Time Management,Organization","Accounting,Finance,Auditing,Taxation","Manages financial records, ensures compliance with tax laws, and prepares financial statements.","50","45","80","High","8%","Financial Analyst,Tax Consultant,Auditor"
"Financial Analyst","Financial Modeling,MS Excel,Investment Analysis,Risk Management,Financial Reporting,SQL,Python,Tableau,Power BI","Analytical Thinking,Presentation,Decision Making,Communication,Research","Finance,Investment Banking,Wealth Management,Equity Research","Analyzes financial data to guide business investment decisions and strategies.","55","60","110","High","10%","Investment Banker,Portfolio Manager,Equity Analyst"
"Business Analyst","SQL,MS Excel,Data Analysis,Process Modeling,Business Intelligence Tools,Tableau,Power BI,Documentation,JIRA","Communication,Problem Solving,Stakeholder Management,Presentation,Analytical Thinking","Business Analysis,Consulting,Product Management,Data Analytics","Bridges business needs with technology solutions through data-driven analysis.","55","60","100","High","12%","Data Analyst,Product Manager,Management Consultant"
"Marketing Manager","Digital Marketing,SEO,SEM,Google Analytics,Social Media Marketing,Content Marketing,CRM,HubSpot,MS Excel","Creativity,Communication,Strategic Thinking,Leadership,Teamwork,Analytical Thinking","Marketing,Brand Management,Advertising,Digital Marketing","Develops and executes marketing strategies to drive brand awareness and revenue growth.","50","70","130","High","10%","Brand Manager,Digital Marketing Specialist,Growth Hacker"
"Human Resources Manager","HRMS,Payroll Management,Recruitment Tools,MS Excel,Performance Management,Employment Law,HR Analytics","Communication,Empathy,Leadership,Conflict Resolution,Organizational Skills","Human Resources,Talent Management,Organizational Development","Manages employee relations, recruitment, training, and organizational culture.","50","55","100","Medium","8%","HR Executive,Recruitment Specialist,Talent Acquisition"
"Content Writer","SEO Writing,Content Management Systems,MS Word,Writing Tools,Grammar Proficiency,Google Docs,Blogging Platforms","Creativity,Writing,Communication,Research,Time Management,Adaptability","Content Writing,Digital Marketing,Creative Writing,Editing","Creates engaging written content for websites, blogs, social media, and marketing materials.","45","30","60","High","15%","Copywriter,Technical Writer,SEO Specialist"
"Digital Marketing Specialist","SEO,SEM,Google Ads,Facebook Ads,Google Analytics,Content Marketing,Email Marketing,Canva,Social Media Management","Creativity,Analytical Thinking,Communication,Adaptability,Teamwork","Digital Marketing,Social Media Marketing,Content Strategy,PPC Advertising","Plans and executes digital campaigns across multiple channels to drive online growth.","50","40","80","High","14%","Social Media Manager,SEO Specialist,Marketing Manager"
"Graphic Designer","Adobe Photoshop,Adobe Illustrator,Adobe InDesign,Canva,Figma,Typography,Color Theory,CorelDRAW,UI Design","Creativity,Communication,Attention to Detail,Time Management,Adaptability","Graphic Design,Visual Communication,UI Design,Branding","Creates visual concepts to communicate ideas that inspire and inform audiences.","45","35","70","Medium","6%","UI Designer,Art Director,Brand Designer"
"Social Media Manager","Social Media Platforms,Content Creation,Canva,Adobe Suite,Hootsuite/Buffer,Analytics Tools,Community Management,SEO Basics","Creativity,Communication,Strategic Thinking,Adaptability,Interpersonal Skills","Social Media Marketing,Content Strategy,Brand Management,Digital Marketing","Develops and manages social media strategy, content, and engagement across platforms.","45","35","65","High","12%","Digital Marketing Specialist,Community Manager,Brand Manager"
"Operations Manager","MS Excel,ERP Systems,SAP,Project Management Tools,Supply Chain Management,Inventory Management,Budgeting,Data Analysis","Leadership,Problem Solving,Decision Making,Communication,Strategic Planning","Operations Management,Supply Chain,Logistics,General Management","Oversees operational processes to ensure efficiency, quality, and cost-effectiveness.","50","60","120","Medium","8%","Supply Chain Manager,Plant Manager,Project Manager"
"Research Scientist","Research Methodology,Data Analysis,Python/R,Statistical Analysis,Lab Techniques,Technical Writing,SAS,SPSS","Analytical Thinking,Research,Patience,Problem Solving,Communication,Collaboration","Research & Development,Academia,Healthcare,Pharmaceuticals","Conducts research to advance knowledge in scientific fields and develop new products.","55","60","120","Medium","7%","Data Scientist,Biomedical Researcher,Lab Manager"
"Project Manager","Project Management Tools,JIRA/Trello,MS Project,Agile/Scrum,MS Excel,Risk Management,Budgeting,Documentation","Leadership,Communication,Problem Solving,Stakeholder Management,Time Management,Decision Making","Project Management,Product Management,Consulting,Operations","Plans, executes, and delivers projects within scope, budget, and timeline.","50","70","130","High","10%","Program Manager,Product Manager,Scrum Master"
"Management Consultant","MS Excel,PowerPoint,Data Analysis,Financial Modeling,SQL,Business Strategy Tools,Tableau","Analytical Thinking,Presentation,Communication,Problem Solving,Leadership,Client Management","Consulting,Strategy,Operations,M&A","Advises organizations on strategy, operations, and management to improve performance.","55","80","150","Medium","10%","Strategy Manager,Business Analyst,Investment Banker"
