Skill,Course_Name,Platform,Free_Paid,Difficulty,Link,Career_Roles
Docker,"Docker Mastery",Udemy,Paid,Intermediate,https://www.udemy.com/course/docker-mastery/,"DevOps Engineer,Cloud Engineer,Full Stack Developer"
Kubernetes,"Kubernetes for Beginners",KodeKloud,Paid,Intermediate,https://kodekloud.com/courses/kubernetes-for-the-absolute-beginners/,"DevOps Engineer,Cloud Engineer"
AWS,"AWS Cloud Practitioner Essentials",AWS,Free,Beginner,https://aws.amazon.com/training/digital/aws-cloud-practitioner-essentials/,"Cloud Engineer,DevOps Engineer"
AWS,"AWS Solutions Architect",Coursera,Paid,Intermediate,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect,"Cloud Engineer,DevOps Engineer"
Cybersecurity,"Introduction to Cybersecurity",Coursera,Free,Beginner,https://www.coursera.org/learn/intro-cyber-security,"Cybersecurity Analyst"
Ethical Hacking,"Learn Ethical Hacking From Scratch",Udemy,Paid,Intermediate,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/,"Cybersecurity Analyst"
Network Security,"Computer Networks",NPTEL,Free,Intermediate,https://nptel.ac.in/courses/106105183,"Cybersecurity Analyst,Cloud Engineer"
Figma,"Google UX Design Professional Certificate",Coursera,Paid,Beginner,https://www.coursera.org/professional-certificates/google-ux-design,"UI/UX Designer"
Git,"Version Control with Git",Coursera,Free,Beginner,https://www.coursera.org/learn/version-control-with-git,"Software Developer,Full Stack Developer,DevOps Engineer"
Data Structures,"Data Structures and Algorithms",GeeksforGeeks,Free,Intermediate,https://www.geeksforgeeks.org/data-structures/,"Software Developer,Java Developer,Python Developer"
Algorithms,"Algorithms Specialization",Coursera,Free,Intermediate,https://www.coursera.org/specializations/algorithms,"Software Developer,Java Developer"
Django,"Django for Everybody",Coursera,Free,Intermediate,https://www.coursera.org/specializations/django,"Python Developer,Full Stack Developer"
Flask,"Flask Web Development",YouTube,Free,Beginner,https://www.youtube.com/playlist?list=PL-osiE80TeTs4UjLw5MM6OjgkjFeUxCYH,"Python Developer,Full Stack Developer"
MongoDB,"MongoDB University",MongoDB,Free,Beginner,https://university.mongodb.com/,"Full Stack Developer,Database Administrator"
Pandas,"Data Analysis with Pandas and Python",Udemy,Paid,Beginner,https://www.udemy.com/course/data-analysis-with-pandas/,"Data Analyst,Data Scientist,Python Developer"
NumPy,"NumPy Tutorial",YouTube,Free,Beginner,https://www.youtube.com/watch?v=QUT1VHiLmmI,"Data Analyst,Data Scientist,Machine Learning Engineer"
Linux,"Introduction to Linux",edX,Free,Beginner,https://www.edx.org/course/introduction-to-linux,"DevOps Engineer,Cloud Engineer,Cybersecurity Analyst"
Scikit-learn,"Machine Learning with Scikit-Learn",Coursera,Free,Intermediate,https://www.coursera.org/learn/machine-learning-with-python,"Machine Learning Engineer,Data Scientist"
Spring Boot,"Spring Boot Tutorial",YouTube,Free,Intermediate,https://www.youtube.com/watch?v=9SGDpanrc8U,"Java Developer,Software Developer"
Flutter,"Flutter & Dart - The Complete Guide",Udemy,Paid,Intermediate,https://www.udemy.com/course/learn-flutter-dart-to-build-ios-android-apps/,"Mobile App Developer"
Solidity,"Blockchain Developer Bootcamp",Udemy,Paid,Advanced,https://www.udemy.com/course/blockchain-developer/,"Blockchain Developer"
NLP,"Natural Language Processing Specialization",Coursera,Paid,Advanced,https://www.coursera.org/specializations/natural-language-processing,"Machine Learning Engineer,Data Scientist"
Computer Vision,"Deep Learning for Computer Vision",NPTEL,Free,Advanced,https://nptel.ac.in/courses/106106224,"Machine Learning Engineer,Data Scientist"
CI/CD,"DevOps with Jenkins",Udemy,Paid,Intermediate,https://www.udemy.com/course/learn-devops-ci-cd-with-jenkins/,"DevOps Engineer"
Terraform,"HashiCorp Terraform Associate",Udemy,Paid,Intermediate,https://www.udemy.com/course/terraform-beginner-to-advanced/,"Cloud Engineer,DevOps Engineer"
Cryptography,"Cryptography I",Coursera,Free,Intermediate,https://www.coursera.org/learn/crypto,"Cybersecurity Analyst,Blockchain Developer"
Accounting,"Financial Accounting Fundamentals",Coursera,Free,Beginner,https://www.coursera.org/learn/financial-accounting,"Accountant,Financial Analyst,Business Analyst"
Accounting,"Tally ERP 9 Complete Course",Udemy,Paid,Beginner,https://www.udemy.com/course/tally-erp-9-course/,"Accountant"
Taxation,"Income Tax for Beginners",Udemy,Paid,Beginner,https://www.udemy.com/course/income-tax-india/,"Accountant,Tax Consultant"
Financial Modeling,"Financial Modeling for Beginners",Coursera,Free,Intermediate,https://www.coursera.org/learn/financial-modeling,"Financial Analyst,Investment Banker"
Digital Marketing,"Google Digital Marketing & E-commerce",Coursera,Free,Beginner,https://www.coursera.org/professional-certificates/google-digital-marketing,"Digital Marketing Specialist,Marketing Manager"
SEO,"SEO Training Course",Udemy,Paid,Intermediate,https://www.udemy.com/course/seo-training/,"Digital Marketing Specialist,SEO Specialist"
Social Media Marketing,"Social Media Marketing Specialization",Coursera,Free,Beginner,https://www.coursera.org/specializations/social-media-marketing,"Social Media Manager,Digital Marketing Specialist"
Content Writing,"Content Writing Specialization",Coursera,Free,Beginner,https://www.coursera.org/specializations/content-strategy,"Content Writer,Digital Marketing Specialist"
Graphic Design,"Google UX Design Professional Certificate",Coursera,Paid,Beginner,https://www.coursera.org/professional-certificates/google-ux-design,"Graphic Designer,UI/UX Designer"
Graphic Design,"Graphic Design Specialization",Coursera,Free,Beginner,https://www.coursera.org/specializations/graphic-design,"Graphic Designer"
HR Management,"HRM: HR as an HR Professional",Coursera,Free,Beginner,https://www.coursera.org/specializations/human-resource-management,"Human Resources Manager"
Project Management,"Google Project Management Certificate",Coursera,Free,Beginner,https://www.coursera.org/professional-certificates/google-project-management,"Project Manager,Operations Manager"
Business Analytics,"Business Analytics Specialization",Coursera,Free,Intermediate,https://www.coursera.org/specializations/business-analytics,"Business Analyst,Data Analyst"
Supply Chain,"Supply Chain Management Specialization",Coursera,Free,Intermediate,https://www.coursera.org/specializations/supply-chain-management,"Operations Manager,Supply Chain Manager"
MS Excel,"Excel Skills for Business",Coursera,Free,Beginner,https://www.coursera.org/specializations/excel,"Accountant,Financial Analyst,Business Analyst,Operations Manager"
Tableau,"Data Visualization with Tableau",Coursera,Free,Intermediate,https://www.coursera.org/specializations/data-visualization,"Data Analyst,Business Analyst,Financial Analyst"
Power BI,"Microsoft Power BI Data Analyst",Coursera,Free,Intermediate,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,"Data Analyst,Business Analyst"
Research Methodology,"Research Methods Specialization",Coursera,Free,Intermediate,https://www.coursera.org/specializations/research-methods,"Research Scientist"
Communication Skills,"Improving Communication Skills",Coursera,Free,Beginner,https://www.coursera.org/learn/wharton-communication,"Content Writer,Marketing Manager,Human Resources Manager"
Leadership,"Leadership and Management Specialization",Coursera,Free,Intermediate,https://www.coursera.org/specializations/leadership,"Project Manager,Operations Manager,Management Consultant"
